"election_dt","county_name","contest_name","name_on_ballot","first_name","middle_name","last_name","name_suffix_lbl","nick_name","candidacy_dt","party_contest","party_candidate","is_unexpired","has_primary","is_partisan","vote_for","term"
"11/07/2017","ALAMANCE","VILLAGE OF ALAMANCE ALDERMAN","Mike Baldwin","MIKE","CONNER","BALDWIN","","","07/19/2017","","","FALSE","FALSE","FALSE","3","4"
"11/07/2017","ALAMANCE","VILLAGE OF ALAMANCE ALDERMAN","Naydine Sharpe","NAYDINE","LEWIS","SHARPE","","","07/18/2017","","","FALSE","FALSE","FALSE","3","4"
"11/07/2017","ALAMANCE","TOWN OF ELON MAYOR","Jerry Tolley","JERRY","RUSSELL","TOLLEY","SR","","07/07/2017","","","FALSE","FALSE","FALSE","1","4"
"11/07/2017","ALAMANCE","TOWN OF ELON ALDERMAN","Jim Chanas","JAMES","FRANCIS","CHANAS","","JIM","07/20/2017","","","FALSE","FALSE","FALSE","2","4"
"11/07/2017","ALAMANCE","TOWN OF ELON ALDERMAN","Davis Montgomery","DAVIS","EUGENE","MONTGOMERY","","","07/11/2017","","","FALSE","FALSE","FALSE","2","4"
"11/07/2017","ALAMANCE","TOWN OF ELON ALDERMAN","Emily Sharpe","EMILY","MEADOWS","SHARPE","","","07/10/2017","","","FALSE","FALSE","FALSE","2","4"
"11/07/2017","ALAMANCE","TOWN OF GIBSONVILLE ALDERMAN","Jennifer Dean","JENNIFER","LYNN","DEAN","","","07/18/2017","","","FALSE","FALSE","FALSE","2","4"
"11/07/2017","ALAMANCE","TOWN OF GIBSONVILLE ALDERMAN","Shannon O'Toole","SHANNON","EUGENE","OTOOLE","","","07/13/2017","","","FALSE","FALSE","FALSE","2","4"
"11/07/2017","ALAMANCE","TOWN OF GIBSONVILLE ALDERMAN","Ken Pleasants","THOMAS","KENTON","PLEASANTS","","KEN","07/18/2017","","","FALSE","FALSE","FALSE","2","4"
"11/07/2017","ALAMANCE","TOWN OF GIBSONVILLE ALDERMAN","Veronica Leath Revels","VERONICA","LEATH","REVELS","","","07/18/2017","","","FALSE","FALSE","FALSE","2","4"
"11/07/2017","ALAMANCE","TOWN OF GIBSONVILLE ALDERMAN","Paul Thompson","PAUL","DWAYNE","THOMPSON","","","07/14/2017","","","FALSE","FALSE","FALSE","2","4"
"11/07/2017","ALAMANCE","CITY OF GRAHAM MAYOR","Jerry Peterman","GERALD","REID","PETERMAN","","JERRY","07/07/2017","","","FALSE","FALSE","FALSE","1","2"
"11/07/2017","ALAMANCE","CITY OF GRAHAM MAYOR","Jim Young","JAMES","WESLEY","YOUNG","","JIM","07/19/2017","","","FALSE","FALSE","FALSE","1","2"
"11/07/2017","ALAMANCE","CITY OF GRAHAM COUNCIL","Larry E. Brooks","LARRY","EUGENE","BROOKS","","","07/21/2017","","","FALSE","FALSE","FALSE","2","4"
"11/07/2017","ALAMANCE","CITY OF GRAHAM COUNCIL","Steven W. Sumner","STEVEN","WAYNE","SUMNER","","","07/20/2017","","","FALSE","FALSE","FALSE","2","4"
"11/07/2017","ALAMANCE","CITY OF GRAHAM COUNCIL","Chip Turner","BRICE","CALDWEL","TURNER","II","CHIP TURNER","07/07/2017","","","FALSE","FALSE","FALSE","2","4"
"11/07/2017","ALAMANCE","CITY OF GRAHAM COUNCIL","Melody L. Wiggins","MELODY","LANETTE","WIGGINS","","","07/07/2017","","","FALSE","FALSE","FALSE","2","4"
"11/07/2017","ALAMANCE","TOWN OF GREEN LEVEL COUNCIL","Carissa A. Graves-Henry","CARISSA","ANN","GRAVES","","","07/13/2017","","","FALSE","FALSE","FALSE","2","4"
"11/07/2017","ALAMANCE","TOWN OF GREEN LEVEL COUNCIL","William Larnce Haith","WILLIAM","LARNCE","HAITH","","","07/21/2017","","","FALSE","FALSE","FALSE","2","4"
"11/07/2017","ALAMANCE","TOWN OF GREEN LEVEL COUNCIL","Elgin Williams","ELGIN","LEE","WILLIAMS","","","07/20/2017","","","FALSE","FALSE","FALSE","2","4"
"11/07/2017","ALAMANCE","TOWN OF HAW RIVER COUNCIL","Kelly Allen","KELLY","FRAZIER","ALLEN","","","07/07/2017","","","FALSE","FALSE","FALSE","2","4"
"11/07/2017","ALAMANCE","TOWN OF HAW RIVER COUNCIL","Jeff Fogleman","JEFFREY","ALAN","FOGLEMAN","","JEFF","07/07/2017","","","FALSE","FALSE","FALSE","2","4"
"11/07/2017","ALAMANCE","CITY OF MEBANE COUNCIL","Jill Auditori","JILL","SUZANNE","AUDITORI","","","07/11/2017","","","FALSE","FALSE","FALSE","3","4"
"11/07/2017","ALAMANCE","CITY OF MEBANE COUNCIL","Tim Bradley","TIMOTHY","LYNN","BRADLEY","","TIM","07/10/2017","","","FALSE","FALSE","FALSE","3","4"
"11/07/2017","ALAMANCE","CITY OF MEBANE COUNCIL","Sean C. Ewing","SEAN","CHARLES","EWING","","","07/07/2017","","","FALSE","FALSE","FALSE","3","4"
"11/07/2017","ALAMANCE","CITY OF MEBANE COUNCIL","Ed Hooks","JAMES","EDWIN","HOOKS","","ED HOOKS","07/10/2017","","","FALSE","FALSE","FALSE","3","4"
"11/07/2017","ALAMANCE","TOWN OF OSSIPEE COUNCIL","Richard Overman","RICHARD","ALEXANDER","OVERMAN","","","07/11/2017","","","FALSE","FALSE","FALSE","2","4"
"11/07/2017","ALAMANCE","TOWN OF OSSIPEE COUNCIL","Mark Whitman","MARKUS","ALLEN","WHITMAN","","MARK","07/10/2017","","","FALSE","FALSE","FALSE","2","4"
"11/07/2017","ALAMANCE","TOWN OF SWEPSONVILLE COUNCIL","Henry Carrouth","HENRY","NATHAN","CARROUTH","","","07/21/2017","","","FALSE","FALSE","FALSE","3","4"
"11/07/2017","ALAMANCE","TOWN OF SWEPSONVILLE COUNCIL","Raymond L. Herring","RAYMOND","LEE","HERRING","","","07/21/2017","","","FALSE","FALSE","FALSE","3","4"
"11/07/2017","ALAMANCE","TOWN OF SWEPSONVILLE COUNCIL","Mary Mordecai","MARY","COCKE","MORDECAI","","","07/10/2017","","","FALSE","FALSE","FALSE","3","4"
"11/07/2017","ALAMANCE","TOWN OF SWEPSONVILLE COUNCIL","Ed Morrah","JAMES","EDWARD","MORRAH","JR","ED","07/19/2017","","","FALSE","FALSE","FALSE","3","4"
"11/07/2017","ALAMANCE","TOWN OF SWEPSONVILLE COUNCIL","Wilbur Suggs","WILBUR","JR","SUGGS","","","07/20/2017","","","FALSE","FALSE","FALSE","3","4"
"11/07/2017","ALLEGHANY","TOWN OF SPARTA MAYOR","(Hillbilly) Wes Brinegar","DAVID","WESLEY","BRINEGAR","","","07/07/2017","","","FALSE","FALSE","FALSE","1","4"
"11/07/2017","ALLEGHANY","TOWN OF SPARTA MAYOR","Frank Hazard","FRANK","LOUIS","HAZARD","","","07/19/2017","","","FALSE","FALSE","FALSE","1","4"
"11/07/2017","ALLEGHANY","TOWN OF SPARTA MAYOR","Chris Jones","NORMAN","CHRISTOPHER","JONES","","","07/07/2017","","","FALSE","FALSE","FALSE","1","4"
"11/07/2017","ALLEGHANY","TOWN OF SPARTA MAYOR","Donny McCall","DONNY","ALLEN","MCCALL","","","07/12/2017","","","FALSE","FALSE","FALSE","1","4"
"11/07/2017","ALLEGHANY","TOWN OF SPARTA MAYOR","Terry Parsons","TERRY","LYNN","PARSONS","","","07/14/2017","","","FALSE","FALSE","FALSE","1","4"
"11/07/2017","ALLEGHANY","TOWN OF SPARTA TOWN COUNCIL","John Brady","JOHN","L","BRADY","","","07/13/2017","","","FALSE","FALSE","FALSE","2","4"
"11/07/2017","ALLEGHANY","TOWN OF SPARTA TOWN COUNCIL","Chris Durgin","CHRISTOPHER","ALLAN","DURGIN","","CHRIS","07/20/2017","","","FALSE","FALSE","FALSE","2","4"
"11/07/2017","ALLEGHANY","TOWN OF SPARTA TOWN COUNCIL","Mike Parlier","MICHAEL","KEITH","PARLIER","","","07/14/2017","","","FALSE","FALSE","FALSE","2","4"
"11/07/2017","ANSON","TOWN OF LILESVILLE MAYOR","James Richard Harrington","JAMES","RICHARD","HARRINGTON","","","07/20/2017","","","FALSE","FALSE","FALSE","1","2"
"11/07/2017","ANSON","TOWN OF LILESVILLE COMMISSIONER","Bernice Bennett","BERNICE","MCLENDON","BENNETT","","","07/10/2017","","","FALSE","FALSE","FALSE","5","2"
"11/07/2017","ANSON","TOWN OF LILESVILLE COMMISSIONER","Jason T. Clarke","JASON","THOMAS","CLARKE","","","07/20/2017","","","FALSE","FALSE","FALSE","5","2"
"11/07/2017","ANSON","TOWN OF LILESVILLE COMMISSIONER","Frank E. McAllister","FRANK","EDWARD","MCALLISTER","","","07/11/2017","","","FALSE","FALSE","FALSE","5","2"
"11/07/2017","ANSON","TOWN OF LILESVILLE COMMISSIONER","Peggy B.Treadaway","PEGGY","B","TREADAWAY","","","07/17/2017","","","FALSE","FALSE","FALSE","5","2"
"11/07/2017","ANSON","TOWN OF LILESVILLE COMMISSIONER","Steve Whitlock","STEVEN","DALE","WHITLOCK","","","07/18/2017","","","FALSE","FALSE","FALSE","5","2"
"11/07/2017","ANSON","TOWN OF LILESVILLE COMMISSIONER","Juanita Williams","JUANITA","REDFERN","WILLIAMS","","","07/10/2017","","","FALSE","FALSE","FALSE","5","2"
"11/07/2017","ANSON","TOWN OF MORVEN COUNCIL","Marjorie Cole","MARJORIE","K","COLE","","","07/07/2017","","","FALSE","FALSE","FALSE","3","4"
"11/07/2017","ANSON","TOWN OF MORVEN COUNCIL","Johnie Clayton Marshall","JOHNIE","CLAYTON","MARSHALL","","","07/20/2017","","","FALSE","FALSE","FALSE","3","4"
"11/07/2017","ANSON","TOWN OF MORVEN COUNCIL","Alvin Solomon","ALVIN","DELANO","SOLOMON","","","07/19/2017","","","FALSE","FALSE","FALSE","3","4"
"11/07/2017","ANSON","TOWN OF MORVEN COUNCIL","Carolyn Gatewood Solomon","CAROLYN","GATEWOOD","SOLOMON","","","07/21/2017","","","FALSE","FALSE","FALSE","3","4"
"11/07/2017","ANSON","TOWN OF MORVEN COUNCIL","John Trotti","JOHN","CHARLES","TROTTI","","","07/21/2017","","","FALSE","FALSE","FALSE","3","4"
"11/07/2017","ANSON","TOWN OF MORVEN COUNCIL","Susan Woodburn","SUSAN","MARIE","WOODBURN","","","07/21/2017","","","FALSE","FALSE","FALSE","3","4"
"11/07/2017","ANSON","TOWN OF PEACHLAND TOWN COUNCIL","James Thomas Hamilton","JAMES","THOMAS","HAMILTON","","","07/13/2017","","","FALSE","FALSE","FALSE","3","4"
"11/07/2017","ANSON","TOWN OF PEACHLAND TOWN COUNCIL","Gail D. Horne","GAIL","DEESE","HORNE","","","07/20/2017","","","FALSE","FALSE","FALSE","3","4"
"11/07/2017","ANSON","TOWN OF PEACHLAND TOWN COUNCIL","Bennie Garrett McLendon","BENNIE","GARRETT","MCLENDON","","","07/14/2017","","","FALSE","FALSE","FALSE","3","4"
"11/07/2017","ANSON","TOWN OF PEACHLAND TOWN COUNCIL","Jason Mullis","MICHAEL","JASON","MULLIS","","","07/14/2017","","","FALSE","FALSE","FALSE","3","4"
"11/07/2017","ANSON","TOWN OF PEACHLAND TOWN COUNCIL","Leigh Taylor","LEIGH","MICHELE","TAYLOR","","","07/17/2017","","","FALSE","FALSE","FALSE","3","4"
"11/07/2017","ANSON","TOWN OF POLKTON MAYOR","Robert Goodwin","JAMES","ROBERT","GOODWIN","","","07/19/2017","","","FALSE","FALSE","FALSE","1","2"
"11/07/2017","ANSON","TOWN OF POLKTON MAYOR","Minnie P. Staton","MINNIE","POLK","STATON","","","07/21/2017","","","FALSE","FALSE","FALSE","1","2"
"11/07/2017","ANSON","TOWN OF POLKTON COMMISSIONER","Myra Thomas Dalgleish","MYRA","ELAINE","DALGLEISH","","","07/14/2017","","","FALSE","FALSE","FALSE","5","2"
"11/07/2017","ANSON","TOWN OF POLKTON COMMISSIONER","Janet Maria Dyson","JANET","MARIA","DYSON","","","07/21/2017","","","FALSE","FALSE","FALSE","5","2"
"11/07/2017","ANSON","TOWN OF POLKTON COMMISSIONER","Johnny Faulk","JOHNNY","RAYE","FAULK","JR","","07/14/2017","","","FALSE","FALSE","FALSE","5","2"
"11/07/2017","ANSON","TOWN OF POLKTON COMMISSIONER","Henry C. Furr Jr.","HENRY","C","FURR","JR","","07/10/2017","","","FALSE","FALSE","FALSE","5","2"
"11/07/2017","ANSON","TOWN OF POLKTON COMMISSIONER","Cindy Melton Heafner","CYNTHIA","MELTON","HEAFNER","","","07/19/2017","","","FALSE","FALSE","FALSE","5","2"
"11/07/2017","ANSON","TOWN OF POLKTON COMMISSIONER","Jimmy Hildreth","JAMES","O","HILDRETH","","","07/12/2017","","","FALSE","FALSE","FALSE","5","2"
"11/07/2017","ANSON","TOWN OF POLKTON COMMISSIONER","Sissy Stegall","JANICE","FAYE","STEGALL","","","07/12/2017","","","FALSE","FALSE","FALSE","5","2"
"11/07/2017","ANSON","TOWN OF POLKTON COMMISSIONER","Joe Watts Jr.","JOE","NEIL","WATTS","JR","","07/19/2017","","","FALSE","FALSE","FALSE","5","2"
"11/07/2017","ANSON","TOWN OF WADESBORO COUNCIL","Gilbert (Gibby) Bachiochi","GILBERTE","","BACHIOCHI","","","07/20/2017","","","FALSE","FALSE","FALSE","3","4"
"11/07/2017","ANSON","TOWN OF WADESBORO COUNCIL","Fred Davis","FRED","ANTONIO","DAVIS","","","07/10/2017","","","FALSE","FALSE","FALSE","3","4"
"11/07/2017","ANSON","TOWN OF WADESBORO COUNCIL","Terry Lane Helms","TERRY","","HELMS","","","07/07/2017","","","FALSE","FALSE","FALSE","3","4"
"11/07/2017","ANSON","TOWN OF WADESBORO COUNCIL","James David Lee","JAMES","DAVID","LEE","","","07/07/2017","","","FALSE","FALSE","FALSE","3","4"
"11/07/2017","ANSON","TOWN OF WADESBORO COUNCIL","Bobby Usrey","ROBERT","L","USREY","","","07/07/2017","","","FALSE","FALSE","FALSE","3","4"
"11/07/2017","ASHE","TOWN OF JEFFERSON ALDERMAN","Thomas Mark Johnston","THOMAS","MARK","JOHNSTON","","","07/17/2017","","","FALSE","FALSE","FALSE","3","4"
"11/07/2017","ASHE","TOWN OF JEFFERSON ALDERMAN","Wes Williams","WESLEY","JOHNSON","WILLIAMS","","","07/17/2017","","","FALSE","FALSE","FALSE","3","4"
"11/07/2017","ASHE","TOWN OF JEFFERSON ALDERMAN","Max Yates","JAMES","MAX","YATES","","","07/18/2017","","","FALSE","FALSE","FALSE","3","4"
"11/07/2017","ASHE","TOWN OF LANSING ALDERMAN","John Blevins","JOHNNY","ALLEN","BLEVINS","","","07/19/2017","","","FALSE","FALSE","FALSE","3","4"
"11/07/2017","ASHE","TOWN OF LANSING ALDERMAN","Jack Brown","JACKIE","LEE","BROWN","","","07/20/2017","","","FALSE","FALSE","FALSE","3","4"
"11/07/2017","ASHE","TOWN OF LANSING ALDERMAN","Matt Cordell","MATTHEW","BAYLES","CORDELL","","","07/20/2017","","","FALSE","FALSE","FALSE","3","4"
"11/07/2017","ASHE","TOWN OF WEST JEFFERSON ALDERMAN","Calvin Green","GEORGE","CALVIN","GREEN","III","","07/10/2017","","","FALSE","FALSE","FALSE","3","4"
"11/07/2017","ASHE","TOWN OF WEST JEFFERSON ALDERMAN","John K. Reeves","JOHN","KILBY","REEVES","","","07/10/2017","","","FALSE","FALSE","FALSE","3","4"
"11/07/2017","ASHE","TOWN OF WEST JEFFERSON ALDERMAN","Stephen S. Shoemaker","STEPHEN","SHARPE","SHOEMAKER","","","07/10/2017","","","FALSE","FALSE","FALSE","3","4"
"11/07/2017","AVERY","TOWN OF BANNER ELK COUNCIL MEMBER","Michael P. Dunn","MICHAEL","PAUL","DUNN","","","07/19/2017","","","FALSE","FALSE","FALSE","2","4"
"11/07/2017","AVERY","TOWN OF BANNER ELK COUNCIL MEMBER","Robert Edgar Tufts","ROBERT","EDGAR","TUFTS","","","07/18/2017","","","FALSE","FALSE","FALSE","2","4"
"11/07/2017","AVERY","TOWN OF BEECH MOUNTAIN TOWN COUNCIL","J. Weidner Abernethy","JAMES","WEIDNER","ABERNETHY","","","07/10/2017","","","FALSE","FALSE","FALSE","3","4"
"11/07/2017","AVERY","TOWN OF BEECH MOUNTAIN TOWN COUNCIL","Barry Kaufman","BARRY","","KAUFMAN","","","07/10/2017","","","FALSE","FALSE","FALSE","3","4"
"11/07/2017","AVERY","TOWN OF BEECH MOUNTAIN TOWN COUNCIL","Carl Marquardt","CARL","FREDERICK","MARQUARDT","III","","07/18/2017","","","FALSE","FALSE","FALSE","3","4"
"11/07/2017","AVERY","TOWN OF BEECH MOUNTAIN TOWN COUNCIL","E. (Rick) Miller","ENRICO","RICK","MILLER","","","07/19/2017","","","FALSE","FALSE","FALSE","3","4"
"11/07/2017","AVERY","TOWN OF BEECH MOUNTAIN TOWN COUNCIL","Paul Piquet","PAUL","JEAN","PIQUET","","","07/18/2017","","","FALSE","FALSE","FALSE","3","4"
"11/07/2017","AVERY","TOWN OF CROSSNORE MAYOR","Tudor Vance","EDWARD","TRUITT","VANCE","","","07/18/2017","","","FALSE","FALSE","FALSE","1","2"
"11/07/2017","AVERY","TOWN OF CROSSNORE ALDERMAN","Jesse Smith","JESSE","CUMMINS","SMITH","","","07/18/2017","","","FALSE","FALSE","FALSE","3","4"
"11/07/2017","AVERY","TOWN OF CROSSNORE ALDERMAN","Dan Vance","DAN","GRAHAM","VANCE","","","07/10/2017","","","FALSE","FALSE","FALSE","3","4"
"11/07/2017","AVERY","TOWN OF ELK PARK MAYOR","John Boone","GARY","JOHN","BOONE","","","07/14/2015","","","FALSE","FALSE","FALSE","1","2"
"11/07/2017","AVERY","TOWN OF ELK PARK COUNCIL MEMBER","Bradley (Brad) Benfield","BRADLEY","DWAYNE","BENFIELD","","","07/20/2017","","","FALSE","FALSE","FALSE","5","2"
"11/07/2017","AVERY","TOWN OF ELK PARK COUNCIL MEMBER","Daniel Boone","JONATHAN","DANIEL","BOONE","","","07/20/2017","","","FALSE","FALSE","FALSE","5","2"
"11/07/2017","AVERY","TOWN OF ELK PARK COUNCIL MEMBER","Tony Eller","TONY","ZANE","ELLER","","","07/14/2015","","","FALSE","FALSE","FALSE","5","2"
"11/07/2017","AVERY","TOWN OF ELK PARK COUNCIL MEMBER","Tommy Norman","TOMMY","LANE","NORMAN","","","07/13/2017","","","FALSE","FALSE","FALSE","5","2"
"11/07/2017","AVERY","TOWN OF ELK PARK COUNCIL MEMBER","Michael E. Smith","MICHAEL","EUGENE","SMITH","","","07/17/2017","","","FALSE","FALSE","FALSE","5","2"
"11/07/2017","AVERY","TOWN OF ELK PARK COUNCIL MEMBER","Joel Whitley","JOEL","SCOTT","WHITLEY","","","07/21/2017","","","FALSE","FALSE","FALSE","5","2"
"11/07/2017","AVERY","VILLAGE OF GRANDFATHER MAYOR","Robert (Bob) Donovan","ROBERT","VICTOR","DONOVAN","","BOB","07/12/2017","","","FALSE","FALSE","FALSE","1","2"
"11/07/2017","AVERY","VILLAGE OF GRANDFATHER COUNCIL MEMBER","David G. Jones","DAVID","GILCHRIST","JONES","","","07/21/2017","","","FALSE","FALSE","FALSE","2","4"
"11/07/2017","AVERY","VILLAGE OF GRANDFATHER COUNCIL MEMBER","Andre Tennille","ANDRE","TOWNSEND","TENNILLE","","","07/17/2017","","","FALSE","FALSE","FALSE","2","4"
"11/07/2017","AVERY","TOWN OF NEWLAND MAYOR","Valerie Calloway Jaynes","VALERIE","L","JAYNES","","","07/21/2017","","","FALSE","FALSE","FALSE","1","4"
"11/07/2017","AVERY","TOWN OF NEWLAND COUNCIL MEMBER","David Paul Calvert","DAVID","PAUL","CALVERT","","","07/10/2017","","","FALSE","FALSE","FALSE","3","4"
"11/07/2017","AVERY","TOWN OF NEWLAND COUNCIL MEMBER","James (Jamey) Johnson","JAMES","CHRISTOPHER","JOHNSON","","JAMEY","07/21/2017","","","FALSE","FALSE","FALSE","3","4"
"11/07/2017","AVERY","TOWN OF NEWLAND COUNCIL MEMBER","Erica Mckinney","ERICA","","MCKINNEY","","","07/14/2017","","","FALSE","FALSE","FALSE","3","4"
"11/07/2017","AVERY","TOWN OF NEWLAND COUNCIL MEMBER","Roxanna Roberson","ROXANNA","MARGARIET","ROBERSON","","","07/11/2017","","","FALSE","FALSE","FALSE","3","4"
"11/07/2017","AVERY","TOWN OF NEWLAND COUNCIL MEMBER","Greg Seiz","GREGORY","EUGENE","SEIZ","","","07/18/2017","","","FALSE","FALSE","FALSE","3","4"
"11/07/2017","AVERY","TOWN OF NEWLAND COUNCIL MEMBER","Lauren Jaynes Turbyfill","LAUREN","JAYNES","TURBYFILL","","","07/21/2017","","","FALSE","FALSE","FALSE","3","4"
"11/07/2017","AVERY","TOWN OF NEWLAND COUNCIL MEMBER","Joleta Wise","JOLETA","KAROL","WISE","","","07/21/2017","","","FALSE","FALSE","FALSE","3","4"
"11/07/2017","AVERY","TOWN OF SEVEN DEVILS TOWN COUNCIL","Tina Bailey","CHRISTINA","FLOYD","BAILEY","","TINA","07/18/2017","","","FALSE","FALSE","FALSE","3","4"
"11/07/2017","AVERY","TOWN OF SEVEN DEVILS TOWN COUNCIL","Robert (Bob) Dodson","ROBERT","CLIFTON","DODSON","","BOB","07/07/2017","","","FALSE","FALSE","FALSE","3","4"
"11/07/2017","AVERY","TOWN OF SEVEN DEVILS TOWN COUNCIL","Kay Ehlinger","KAY","D","EHLINGER","","","07/12/2017","","","FALSE","FALSE","FALSE","3","4"
"11/07/2017","AVERY","TOWN OF SEVEN DEVILS TOWN COUNCIL","Brad Lambert","ROBERT","BRADLEY","LAMBERT","","BRAD","07/12/2017","","","FALSE","FALSE","FALSE","3","4"
"11/07/2017","AVERY","TOWN OF SEVEN DEVILS TOWN COUNCIL","Barrie Winn","EDWARD","BARRIERE","WINN","","BARRIE","07/21/2017","","","FALSE","FALSE","FALSE","3","4"
"11/07/2017","AVERY","VILLAGE OF SUGAR MOUNTAIN COUNCIL","David P. Ammann","DAVID","PAUL","AMMANN","","","07/17/2017","","","FALSE","FALSE","FALSE","2","4"
"11/07/2017","AVERY","VILLAGE OF SUGAR MOUNTAIN COUNCIL","Scott J. Brown","SCOTT","JAY","BROWN","","","07/07/2017","","","FALSE","FALSE","FALSE","2","4"
"11/07/2017","BEAUFORT","TOWN OF AURORA MAYOR","Clif Williams","CLIFTON","EARL","WILLIAMS","JR","CLIF","07/10/2017","","","FALSE","FALSE","FALSE","1","4"
"11/07/2017","BEAUFORT","TOWN OF AURORA COMMISSIONER","Patricia Bragg","PATRICIA","ANN MILLER","BRAGG","","","07/07/2017","","","FALSE","FALSE","FALSE","2","4"
"11/07/2017","BEAUFORT","TOWN OF AURORA COMMISSIONER","Raleigh B. Lee","RALEIGH","BRADFORD","LEE","III","","07/20/2017","","","FALSE","FALSE","FALSE","2","4"
"11/07/2017","BEAUFORT","TOWN OF AURORA COMMISSIONER","Jeff Peed","JEFFREY","DONALD","PEED","","JEFF","07/17/2017","","","FALSE","FALSE","FALSE","2","4"
"11/07/2017","BEAUFORT","TOWN OF BATH COMMISSIONER","Patricia Duffer","PATRICIA","ANN","DUFFER","","TRISHA","07/17/2017","","","FALSE","FALSE","FALSE","2","4"
"11/07/2017","BEAUFORT","TOWN OF BATH COMMISSIONER","David C. Johnson","DAVID","CRAIG","JOHNSON","","","07/21/2017","","","FALSE","FALSE","FALSE","2","4"
"11/07/2017","BEAUFORT","TOWN OF BELHAVEN MAYOR","Arthur Bonner","ARTHUR","","BONNER","","","07/21/2017","","","FALSE","FALSE","FALSE","1","2"
"11/07/2017","BEAUFORT","TOWN OF BELHAVEN MAYOR","Ricky Credle","JAMES","RICHARDSON","CREDLE","","RICKY","07/17/2017","","","FALSE","FALSE","FALSE","1","2"
"11/07/2017","BEAUFORT","TOWN OF BELHAVEN MAYOR","Edith C. Guy","EDITH","CULLIPHER","GUY","","","07/21/2017","","","FALSE","FALSE","FALSE","1","2"
"11/07/2017","BEAUFORT","TOWN OF BELHAVEN MAYOR","Elola T. Moore","ELOLA","TENEAN","MOORE","","","07/17/2017","","","FALSE","FALSE","FALSE","1","2"
"11/07/2017","BEAUFORT","TOWN OF BELHAVEN MAYOR","Greg Satterthwaite","GREGORY","","SATTERTHWAITE","","GREG","07/21/2017","","","FALSE","FALSE","FALSE","1","2"
"11/07/2017","BEAUFORT","TOWN OF BELHAVEN ALDERMAN EAST END","Yvonne Evans Deruiz","YVONNE","EVANS","DERUIZ","","","07/12/2017","","","FALSE","FALSE","FALSE","1","4"
"11/07/2017","BEAUFORT","TOWN OF BELHAVEN ALDERMAN EAST END","Ricky Radcliffe","RICHARD","NELSON","RADCLIFFE","","RICKY","07/19/2017","","","FALSE","FALSE","FALSE","1","4"
"11/07/2017","BEAUFORT","TOWN OF BELHAVEN ALDERMAN WEST END","Jay Wilkins","ROBERT","JASON","WILKINS","","JAY","07/21/2017","","","FALSE","FALSE","FALSE","1","4"
"11/07/2017","BEAUFORT","TOWN OF BELHAVEN ALDERMAN EAST END (UNEXPIRED TERM)","Mary F. Cox","MARY","FORBES","COX","","","07/21/2017","","","TRUE","FALSE","FALSE","1","2"
"11/07/2017","BEAUFORT","TOWN OF CHOCOWINITY MAYOR","Curt Jenkins","JOHN","CURTIS","JENKINS","JR","CURT","07/10/2017","","","FALSE","FALSE","FALSE","1","4"
